school,readingachieve,readingchange,writingachieve,writingchange,mathachieve,mathchange
811696,0.83,-5,0.74,-17,0.39,-32
814423,0.61,-15,0.45,-40,0.39,-15
762733,0.82,-1,0.78,-5,0.58,-14
772020,0.71,-2,0.61,-12,0.51,-10
750435,0.73,11,0.85,23,0.71,25
820830,0.79,4,0.79,3,0.67,2
730718,0.68,1,0.68,-6,0.53,-40
823015,0.69,-5,0.79,-10,0.44,-29
830801,0.91,4,0.91,1,0.78,-7
835668,0.55,-12,0.64,-16,0.59,-20
843156,0.97,0,0.97,-3,0.85,5
733040,0.74,2,0.79,10,0.65,10
852902,0.85,13,0.92,20,0.54,-2
854980,0.72,12,0.67,-13,0.56,-14
858960,0.75,-15,0.69,-10,0.44,-20
2801,0.89,11,0.86,1,0.54,-9
9008,0.47,-22,0.47,-17,0.3,-12
14052,0.89,26,0.82,5,0.61,-16
20036,0.75,6,0.56,-18,0.44,-19
36609,0.52,-4,0.72,-2,0.52,-15
38083,0.47,-27,0.4,-34,0.2,-41
38164,0.6,-17,0.67,-10,0.67,5
42269,0.73,7,0.63,8,0.49,1
637517,0.79,-13,0.77,-11,0.65,-16
33880,0.64,6,0.5,-8,0.64,22
33952,0.57,-22,0.63,-6,0.51,1
179554,0.63,-22,0.63,-19,0.63,-15
72907,0.84,29,0.88,49,0.6,25
73547,0.71,10,0.53,-21,0.51,-23
82686,0.55,11,0.59,15,0.54,-8
97110,0.73,-12,0.8,-4,0.65,-14
94587,0.81,0,0.66,-22,0.25,-37
619779,0.8,0,0.79,4,0.72,3
22128,0.56,-35,0.52,-36,0.42,-47
117463,0.78,8,0.7,-13,0.52,-13
116840,0.89,1,0.82,-6,0.75,-11
124222,0.64,-14,0.69,-3,0.59,-16
170662,0.19,-5,0.06,-34,0.43,-7
147109,0.66,8,0.66,-6,0.49,-7
147885,0.65,-14,0.7,-9,0.58,-21
147915,0.58,-9,0.42,-27,0.32,-32
148148,0.76,-10,0.76,-16,0.52,-24
5215,0.67,-7,0.42,-36,0.33,-41
165514,0.81,7,0.81,7,0.63,-1
156078,1.0,5,0.83,1,0.73,-22
493031,1.0,6,0.97,3,0.8,-12
192210,0.89,70,0.84,53,0.63,51
193119,0.94,3,0.86,1,0.88,3
531551,0.72,11,0.64,-6,0.5,0
210277,0.89,-4,0.88,3,0.82,-1
213829,0.67,-6,0.76,-4,0.6,0
218103,0.48,-21,0.74,0,0.45,-10
219908,0.77,2,0.7,-22,0.63,-4
567787,0.95,15,0.95,15,0.82,10
221805,0.76,14,0.71,16,0.62,14
477435,0.88,10,0.81,-2,0.5,-22
244791,0.6,-14,0.84,3,0.72,4
231533,0.78,-17,0.8,-15,0.64,-21
280844,0.94,26,0.84,18,0.77,9
283495,0.91,1,0.83,5,0.6,-16
286095,0.83,1,0.77,3,0.77,1
124745,0.9,6,0.83,5,0.9,12
304379,0.76,-20,0.72,-9,0.79,6
99872,0.84,32,0.94,42,0.69,36
311707,0.85,-7,0.82,-2,0.61,-23
313050,0.89,9,0.8,0,0.72,3
312983,0.77,-11,0.83,-9,0.54,-18
321176,0.77,1,0.68,-13,0.59,7
328740,0.76,-18,0.59,-35,0.77,-21
350508,0.67,18,0.45,2,0.46,-3
450298,0.79,-11,0.72,-22,0.71,-15
394819,0.77,0,0.81,3,0.62,-5
425630,0.78,0,0.86,8,0.58,-14
443573,0.74,7,0.67,6,0.69,4
477303,0.81,5,0.52,-30,0.67,-4
458830,0.79,-5,0.81,-3,0.81,10
461423,0.92,3,0.68,-16,0.51,-19
463396,0.71,22,0.65,22,0.69,49
451177,0.67,9,0.38,-24,0.71,0
336001,0.77,-5,0.62,-20,0.59,-12
489336,0.75,0,0.75,-7,0.5,1
201258,0.83,-1,0.78,-12,0.65,-11
490563,0.95,25,0.75,-8,0.65,-5
509736,0.94,7,0.85,8,0.68,-17
503720,0.47,-38,0.53,-16,0.39,-19
197235,0.67,-13,0.76,-15,0.69,-11
531049,0.82,-6,0.81,1,0.82,12
515523,0.43,-30,0.64,-16,0.74,-5
520225,0.76,-2,0.78,-16,0.65,-15
622044,0.68,-6,0.63,6,0.46,-5
526673,1.0,46,0.9,36,0.7,12
536512,0.78,0,0.66,-12,0.53,-1
542148,0.77,-1,0.77,-7,0.54,-2
543861,0.8,4,0.76,-5,0.76,21
551066,0.81,-16,0.77,-20,0.77,-17
569933,0.9,1,0.93,2,0.81,2
569216,0.83,-1,0.88,-9,0.73,-15
570389,0.76,-9,0.84,-1,0.64,8
577049,0.36,-4,0.38,-13,0.13,-30
92886,0.8,-2,0.91,-2,0.68,-4
577669,0.81,8,0.65,-15,0.65,-6
590916,0.83,21,0.72,-4,0.54,-11
325635,0.64,-14,0.58,-20,0.42,-18
598909,0.72,-23,0.72,-23,0.62,-12
595535,0.66,6,0.76,32,0.72,28
171101,0.88,10,0.85,10,0.74,-8
610704,0.84,-4,0.82,-6,0.82,9
525960,0.88,8,0.91,3,0.77,2
614904,0.94,10,0.77,0,0.67,-7
617440,0.5,1,0.45,-9,0.42,1
438276,0.73,-12,0.79,-10,0.62,-12
4758,0.4,-13,0.28,-15,0.26,-12
31739,0.7,-11,0.33,-45,0.43,-35
41807,0.89,-3,0.84,3,0.74,16
521116,0.59,-41,0.41,-52,0.41,-30
403466,0.67,-9,0.4,-24,0.67,7
34339,0.56,-18,0.52,-18,0.28,-33
62006,0.64,-23,0.79,-8,0.54,-12
70254,0.63,7,0.53,2,0.47,0
75604,0.59,0,0.61,-9,0.37,2
89966,0.5,2,0.47,9,0.5,26
90077,0.38,19,0.25,13,0.25,17
90816,0.21,7,0.11,2,0.0,-5
468064,0.67,-12,0.49,-22,0.55,-10
192880,0.71,7,0.75,9,0.69,24
126306,0.85,17,0.81,25,0.58,22
136441,0.73,14,0.78,19,0.67,30
151130,0.9,19,0.86,10,0.74,29
170372,0.59,7,0.41,-26,0.29,-30
220035,0.64,4,0.64,-6,0.57,-13
226017,0.38,13,0.14,4,0.19,19
227056,0.62,-18,0.15,-50,0.62,17
229393,0.55,-3,0.5,8,0.5,14
233706,0.53,8,0.53,5,0.34,-11
265608,0.21,0,0.29,8,0.14,3
280097,0.57,-12,0.55,-23,0.45,-5
281263,0.62,1,0.59,-5,0.53,-4
282308,0.47,-15,0.37,-17,0.26,1
295434,0.42,-11,0.29,-12,0.16,-22
145602,0.69,-15,0.74,-13,0.56,-21
97314,0.53,31,0.2,5,0.33,18
308170,0.52,5,0.56,17,0.28,-11
326259,0.72,-9,0.68,-17,0.55,-3
329100,0.36,8,0.21,-4,0.15,9
378372,0.82,21,0.86,30,0.64,8
410225,0.74,16,0.77,10,0.58,4
502324,0.6,-5,0.3,-23,0.4,-13
417505,0.92,1,1.0,14,0.88,11
97446,0.6,14,0.53,15,0.47,1
97578,0.92,25,0.88,13,0.8,22
451304,0.95,27,0.76,-1,0.67,-4
452866,0.65,12,0.74,21,0.39,-1
456764,0.13,-28,0.07,-34,0.13,-20
469505,0.53,-26,0.47,-11,0.2,-64
485306,0.85,-8,0.74,-13,0.54,-26
494208,0.59,9,0.55,-4,0.48,-2
412984,0.72,-8,0.75,0,0.67,14
521760,0.83,17,0.74,-6,0.72,3
403725,0.46,-23,0.25,-37,0.29,-33
153931,0.52,-7,0.3,-27,0.26,-25
584037,0.63,-1,0.58,4,0.84,20
586110,0.72,7,0.57,-5,0.59,16
176049,0.6,-15,0.61,-1,0.51,-3
1899,0.68,20,0.71,23,0.55,15
596647,0.81,12,0.74,16,0.74,5
1104,0.58,7,0.7,13,0.42,-9
18660,0.61,-6,0.48,-11,0.52,6
19054,0.74,4,0.76,0,0.64,1
41297,0.76,-15,0.79,-8,0.59,-14
41947,0.92,4,0.9,-2,0.74,-5
98094,0.65,-15,0.45,-27,0.5,-26
95885,0.81,6,0.48,-27,0.62,-13
91073,0.96,0,1.0,0,0.88,0
123838,0.55,32,0.52,25,0.41,33
131245,0.81,9,0.77,3,0.68,-4
134880,0.7,18,0.7,11,0.74,33
142948,0.47,4,0.56,10,0.31,-12
590984,0.75,15,0.74,25,0.65,3
362379,0.58,-5,0.55,-19,0.55,-3
164690,0.86,18,0.91,15,0.73,21
334012,0.71,13,0.65,8,0.62,9
222119,0.45,9,0.34,-5,0.45,9
201391,0.66,24,0.44,11,0.47,10
203009,0.3,-13,0.24,-13,0.19,-18
211192,0.38,10,0.38,10,0.38,4
34361,0.76,-9,0.91,6,0.57,-21
220817,0.71,-18,0.62,-14,0.57,-27
222240,0.67,28,0.61,18,0.7,45
91464,0.74,-2,0.64,-16,0.67,4
245658,0.71,6,0.64,6,0.62,4
268267,0.9,11,0.81,10,0.77,15
279315,0.68,-11,0.79,8,0.47,-17
91596,0.8,2,0.71,11,0.65,-4
283347,0.72,-18,0.72,-18,0.56,-30
294659,0.5,5,0.43,-2,0.29,-11
300500,0.67,-7,0.61,-1,0.51,-1
308897,0.94,4,0.85,-5,0.87,2
551941,0.78,1,0.78,-1,0.49,-21
327026,0.57,-10,0.45,-29,0.36,-8
331180,0.77,3,0.73,25,0.69,21
338206,0.61,2,0.61,-7,0.36,-19
343536,0.57,-1,0.68,-3,0.41,-17
376035,0.68,1,0.68,-19,0.61,1
411787,0.64,5,0.56,2,0.52,8
435872,0.85,-3,0.69,-23,0.42,-46
452734,0.77,-4,0.74,-7,0.58,-6
454168,0.6,-2,0.58,-7,0.38,-7
457280,0.65,23,0.42,-8,0.27,-6
462098,0.59,12,0.5,3,0.38,-8
574155,0.52,4,0.57,-5,0.48,15
491217,0.62,-3,0.46,-22,0.36,-32
491764,0.67,15,0.75,9,0.67,15
498513,0.85,2,0.82,10,0.59,-3
526703,0.82,-8,0.75,-8,0.75,-8
243524,0.81,0,0.77,-8,0.68,-2
539427,0.84,13,0.88,20,0.73,26
440256,0.83,-2,0.91,12,0.72,-1
147362,0.62,15,0.59,9,0.51,18
607541,0.42,-6,0.35,-4,0.35,12
687286,0.74,-14,0.78,-14,0.7,-18
693987,0.83,-4,0.83,1,0.71,2
708160,0.89,-4,0.88,-7,0.73,-4
714712,0.87,8,0.77,-2,0.62,13
716936,0.95,4,0.95,-1,0.8,-3
718483,0.71,-5,0.63,-1,0.53,-7
719005,0.84,-9,0.82,-7,0.79,-7
687394,0.91,1,0.88,-4,0.71,-17
737147,0.85,-5,0.81,-12,0.75,-7
749052,0.83,6,0.67,-13,0.52,-22
734373,0.57,-31,0.48,-46,0.48,-46
810355,0.76,-12,0.59,-28,0.53,-22
758280,0.8,10,0.7,0,0.57,6
768936,0.89,-2,0.8,-15,0.65,-17
772647,0.93,5,0.91,3,0.85,7
683661,0.69,-7,0.59,-15,0.59,-10
681054,0.89,7,0.87,-5,0.8,3
777650,0.78,-11,0.83,-8,0.76,-13
780871,0.8,-8,0.72,-20,0.6,-22
781436,0.71,-16,0.74,-14,0.49,-26
838178,0.88,-2,0.83,-9,0.69,-10
786861,0.85,0,0.75,-10,0.66,-14
789232,0.65,-22,0.62,-17,0.42,-32
792039,0.76,-16,0.64,-24,0.58,-9
793884,0.75,-9,0.62,-7,0.56,-6
755052,0.92,19,0.82,14,0.76,17
801283,0.81,-7,0.73,-11,0.6,-18
804410,0.7,-20,0.57,-38,0.74,-8
680039,0.78,-2,0.79,-1,0.75,7
809144,0.79,8,0.76,11,0.74,13
820679,1.0,15,1.0,15,0.89,0
821241,0.75,-14,0.73,-10,0.77,-8
823058,0.63,-16,0.52,-7,0.41,-18
681423,0.89,1,0.79,-5,0.67,-10
823180,0.88,-7,0.8,-18,0.85,-6
834319,0.83,-8,0.72,-14,0.83,1
798827,0.86,7,0.75,1,0.76,13
839442,0.68,-20,0.4,-48,0.48,-24
840912,0.79,-9,0.66,-17,0.48,-23
843989,0.81,-6,0.76,-7,0.77,-9
848484,0.93,-4,0.93,0,0.89,10
729159,0.88,2,0.88,0,0.81,10
856630,0.93,10,0.83,-4,0.74,10
858889,0.91,14,0.82,-1,0.68,-2
779,0.7,-16,0.8,1,0.5,-5
33680,0.85,7,0.75,-5,0.79,20
344051,0.89,3,0.88,-1,0.7,-8
251664,0.84,2,0.85,-4,0.68,0
124887,0.81,7,0.78,10,0.74,15
59501,0.7,15,0.35,-10,0.43,3
66249,0.88,15,0.92,16,0.68,7
66761,0.88,5,0.68,-18,0.72,0
58360,0.77,1,0.8,-2,0.6,-1
586248,0.66,-9,0.56,-27,0.52,-14
411795,0.79,4,0.71,-2,0.71,7
85898,0.79,6,0.77,2,0.69,7
94455,0.73,-9,0.57,-18,0.61,6
77046,0.83,-9,0.88,1,0.65,-18
76970,0.75,-11,0.73,1,0.57,-15
111090,0.77,4,0.61,-8,0.44,-2
147281,0.91,4,0.72,-7,0.72,5
156469,0.88,-7,0.87,-8,0.71,-21
169110,0.83,-7,0.72,-19,0.68,-9
164267,0.8,-4,0.71,-13,0.69,-12
206470,0.78,3,0.71,-6,0.59,-3
121112,0.85,7,0.81,7,0.64,-4
180123,0.81,-4,0.81,-9,0.78,-2
193046,0.69,-4,0.56,-2,0.54,-13
194263,0.77,5,0.72,0,0.62,2
474578,0.98,4,0.92,1,0.89,-1
206474,0.77,-1,0.58,-20,0.54,-7
212369,0.79,3,0.76,11,0.65,-8
216267,0.74,-6,0.74,-8,0.67,-3
220523,0.7,11,0.52,-1,0.3,-11
220426,0.85,11,0.65,-11,0.53,-15
245259,0.5,-26,0.41,-38,0.45,-28
111600,0.75,-1,0.64,-11,0.66,3
253340,0.91,-1,0.91,3,0.84,3
158377,0.84,0,0.78,2,0.61,-10
280356,0.74,18,0.74,2,0.53,1
138990,0.92,-1,0.91,2,0.78,-4
285161,0.9,2,0.94,0,0.81,-2
223746,0.89,3,0.8,-11,0.8,6
286087,0.88,23,0.53,-17,0.82,17
408543,0.96,8,0.93,6,0.89,5
291536,0.75,-18,0.8,0,0.75,-5
299855,0.62,6,0.38,-14,0.31,9
304271,0.78,-7,0.75,13,0.69,-8
312460,0.95,13,0.95,22,0.63,-14
334693,0.84,-1,0.84,-1,0.77,-4
336122,0.84,12,0.67,1,0.6,-6
345229,0.86,4,0.78,-13,0.68,-8
353183,0.64,-6,0.67,15,0.73,17
368857,0.67,-15,0.7,14,0.47,3
376086,0.5,-17,0.36,-38,0.28,-5
380199,0.93,-3,0.87,-6,0.84,-3
383570,0.96,17,0.89,13,0.79,-3
414646,0.27,-27,0.27,-31,0.07,-43
76727,0.88,-1,0.87,-1,0.81,-1
421472,0.9,-2,0.85,3,0.79,1
310777,0.84,-1,0.81,-8,0.75,-5
154705,0.83,-2,0.66,-13,0.7,-7
433888,0.9,23,0.67,7,0.57,7
70734,0.84,11,0.84,7,0.59,-18
437565,0.71,-8,0.45,-25,0.48,-13
442011,0.97,2,0.91,4,0.88,-8
444022,0.92,0,0.89,11,0.86,12
445193,0.92,-2,0.86,0,0.72,-5
445452,0.89,14,0.75,0,0.64,22
451720,0.9,14,0.86,8,0.76,-2
485438,0.83,0,0.78,4,0.73,7
487252,0.76,-4,0.64,-8,0.51,-24
487570,0.73,6,0.71,10,0.47,-8
489395,0.81,4,0.68,-5,0.74,17
495263,0.9,0,0.9,7,0.72,-2
556807,0.63,-17,0.42,-36,0.63,-15
510289,0.62,-9,0.62,-13,0.52,-15
510130,0.73,-6,0.73,-2,0.69,-3
515353,0.75,-8,0.65,-6,0.55,-16
543217,0.96,3,0.9,5,0.78,-1
550361,0.68,14,0.68,30,0.53,32
393777,0.75,-3,0.71,3,0.6,-1
557269,0.93,6,0.87,3,0.67,-3
597260,0.84,0,0.67,-7,0.64,-11
743868,0.8,1,0.73,0,0.67,0
690279,0.86,16,0.76,13,0.72,20
693650,0.88,13,0.73,3,0.73,-2
699500,0.83,-6,0.87,6,0.73,-10
710997,0.94,9,0.98,13,0.77,16
717053,0.5,-12,0.46,-19,0.48,-11
704288,0.97,2,0.94,1,0.85,-4
819028,0.84,0,0.75,-17,0.67,-9
721972,1.0,24,1.0,15,0.89,21
745650,0.5,17,0.47,10,0.36,3
742350,1.0,19,1.0,12,0.9,9
748544,0.97,14,0.91,15,0.75,20
748633,0.89,-9,0.95,-5,0.84,-6
752800,0.85,-10,0.9,-5,0.75,-14
756180,0.67,-21,0.57,-5,0.48,-8
765180,0.81,4,0.72,-5,0.69,0
772046,0.94,-3,0.97,3,0.87,-2
772160,0.59,5,0.49,-16,0.39,-7
785865,0.73,-10,0.73,-19,0.64,-3
775681,0.85,-3,0.85,-11,0.7,-10
778028,0.94,9,0.81,-7,0.68,-17
784400,0.71,-5,0.76,-14,0.62,-4
786152,0.77,17,0.65,0,0.5,5
789720,0.84,0,0.72,-12,0.55,-20
792217,0.88,1,0.79,-18,0.79,-3
825892,0.86,-3,0.84,-7,0.72,-2
799530,0.95,17,0.95,14,0.77,14
770965,0.85,11,0.76,-9,0.64,-10
751553,0.69,-16,0.69,-7,0.56,-18
804673,0.78,4,0.88,12,0.66,0
814032,0.83,7,0.83,15,0.6,-1
866725,0.91,3,0.83,-9,0.74,-11
817678,0.65,-26,0.74,-23,0.53,-25
820652,0.69,-9,0.59,-17,0.41,-32
821705,0.81,-4,0.69,-14,0.46,-26
821268,0.72,4,0.7,-2,0.66,6
696196,0.9,2,0.84,-10,0.76,4
824313,0.93,15,0.93,2,0.81,9
745279,0.75,-15,0.8,-4,0.69,0
834220,0.66,5,0.6,-1,0.6,5
839779,0.46,-10,0.61,-2,0.34,-10
842389,0.89,-6,0.96,1,0.79,-16
851264,0.88,-5,0.92,6,0.75,-8
733105,0.67,3,0.67,-5,0.48,-1
854336,0.84,-2,0.94,11,0.74,11
773786,0.81,5,0.7,0,0.55,-11
858102,0.79,5,0.62,-19,0.62,3
863955,0.83,-2,0.63,-13,0.58,-7
728,0.77,23,0.69,25,0.33,18
2674,0.56,4,0.5,-5,0.5,26
11568,0.89,13,0.86,33,0.63,1
287210,0.72,1,0.51,-22,0.64,5
50415,1.0,5,0.8,-5,0.7,-8
41548,0.78,-2,0.75,4,0.66,10
90131,0.52,11,0.34,-6,0.26,0
41980,0.69,10,0.65,-2,0.48,7
68845,0.5,-26,0.4,-27,0.3,-22
560408,0.42,8,0.25,-19,0.18,-9
89257,0.47,-12,0.53,5,0.33,-8
91723,0.34,-12,0.39,-12,0.16,-13
105503,0.62,2,0.6,0,0.43,10
213012,0.8,5,0.57,-8,0.57,5
488921,0.47,-1,0.37,-11,0.25,-3
448940,0.95,2,0.69,-9,0.56,-8
153087,0.78,0,0.48,-30,0.57,-7
158151,0.83,12,0.63,2,0.62,16
171123,0.51,-5,0.54,3,0.49,16
198668,0.5,-42,0.4,-45,0.7,8
196240,0.84,-1,0.79,-6,0.66,-3
203912,0.65,14,0.69,22,0.51,14
114477,0.79,4,0.77,2,0.74,3
212490,0.54,26,0.15,-17,0.41,15
217301,0.6,-6,0.35,-9,0.35,-9
222135,0.58,-11,0.56,-19,0.42,-19
229130,0.55,-4,0.55,18,0.18,-19
233552,0.77,-12,0.62,-19,0.39,-32
252557,0.63,4,0.53,-8,0.35,-7
254096,0.59,11,0.75,23,0.34,-1
256048,0.59,-9,0.32,-29,0.22,-8
220145,0.61,12,0.35,-22,0.28,-11
261378,0.61,4,0.56,-6,0.28,-5
273201,0.62,1,0.54,-18,0.41,2
281492,0.77,7,0.71,-1,0.54,4
281026,0.78,19,0.73,19,0.64,15
303755,0.61,5,0.61,9,0.52,22
94608,0.56,0,0.45,3,0.35,-4
313173,0.57,-17,0.46,-25,0.46,-9
314544,0.5,-17,0.41,-21,0.32,-4
345873,0.67,-13,0.63,-7,0.51,-1
360309,0.38,2,0.35,1,0.28,12
361739,0.64,-13,0.52,-28,0.52,-22
364983,0.58,-38,0.67,-33,0.62,-34
375900,0.7,-1,0.57,-11,0.5,-4
376299,0.64,9,0.59,-9,0.64,25
376949,0.73,-1,0.63,-16,0.53,-12
378178,0.88,11,0.88,-2,0.83,6
412309,0.81,-12,0.62,-19,0.57,-9
434272,0.78,21,0.74,-21,0.39,1
437557,0.66,11,0.68,19,0.54,5
25897,0.42,-10,0.38,-14,0.25,-9
464430,0.57,3,0.73,12,0.33,-5
548172,0.53,17,0.4,3,0.22,7
466387,0.68,-6,0.68,-8,0.45,-20
467324,0.61,2,0.55,-7,0.45,-3
468207,0.79,0,0.57,-17,0.64,6
476773,0.73,10,0.58,-9,0.55,16
480738,0.58,3,0.39,-16,0.26,-6
484199,0.66,2,0.53,-2,0.57,5
490695,0.62,-13,0.56,-34,0.32,-8
493163,0.85,7,0.88,25,0.69,17
515329,0.42,-15,0.5,-1,0.46,12
516244,0.76,17,0.73,21,0.51,17
466639,0.74,-8,0.56,-24,0.54,-14
465860,1.0,5,0.88,-7,0.71,-5
539570,0.86,29,0.67,20,0.67,17
548022,0.66,16,0.69,23,0.56,29
550817,0.83,29,0.79,19,0.55,9
579155,0.74,-7,0.65,-16,0.67,-14
578703,0.75,32,0.79,6,0.29,2
579610,0.58,18,0.47,2,0.32,1
603538,0.61,11,0.61,-1,0.54,16
615498,0.69,-5,0.6,-8,0.53,-11
624721,0.74,-22,0.74,-26,0.65,-18
8795,0.64,-11,0.53,-8,0.43,-7
26743,0.74,7,0.68,10,0.53,20
512796,0.5,-18,0.42,-14,0.35,-17
49506,0.6,-15,0.65,-2,0.55,-3
122661,0.85,8,0.58,-15,0.62,0
139173,0.21,-39,0.21,-29,0.21,-29
202495,0.74,-7,0.79,2,0.57,-8
203130,0.49,-11,0.54,1,0.31,-9
244600,0.72,3,0.63,-11,0.63,9
246034,0.82,9,0.66,-7,0.57,-14
290130,0.53,-17,0.26,-44,0.21,-39
328456,0.65,7,0.62,4,0.41,3
92509,0.85,18,0.85,27,0.54,21
18279,0.55,5,0.65,32,0.3,-3
349640,0.36,-8,0.29,4,0.21,-17
433497,0.42,-10,0.55,-21,0.29,-10
453382,0.71,-5,0.55,-18,0.42,-12
453641,0.32,-18,0.3,-20,0.17,-9
455598,0.57,35,0.47,28,0.37,30
463264,0.62,24,0.69,44,0.38,7
465470,0.77,33,0.58,29,0.52,26
515639,0.71,2,0.6,9,0.52,-12
96016,0.64,-11,0.73,-27,0.73,6
478084,0.74,10,0.51,1,0.51,8
600610,0.72,-2,0.64,-17,0.68,-10
162909,0.46,3,0.29,8,0.19,-13
557146,0.7,15,0.68,13,0.62,0
564133,0.56,-10,0.4,-39,0.48,-21
568821,0.95,15,0.82,-3,0.86,6
407275,0.28,-18,0.04,-46,0.16,-7
717312,0.74,10,0.7,-16,0.43,-21
832634,0.85,5,0.82,15,0.64,-13
747211,1.0,0,1.0,0,1.0,0
706396,0.81,-3,0.81,-8,0.65,18
867985,0.65,35,0.47,28,0.29,-8
766976,0.81,-1,0.86,4,0.57,12
768405,0.81,-9,0.73,-17,0.5,-35
868639,0.82,17,0.76,21,0.53,-7
731226,0.85,9,0.92,16,0.85,9
763721,0.89,3,1.0,21,0.67,-4
698334,0.96,10,0.84,-6,0.48,-7
732788,0.71,16,0.94,23,0.6,8
827940,0.55,1,0.3,-6,0.3,-2
705748,0.93,20,0.79,6,0.71,4
817448,0.76,-4,0.64,-11,0.56,3
716014,0.77,-19,0.62,-21,0.42,-36
742929,0.62,-18,0.31,-59,0.15,-55
746045,0.71,-4,0.46,-33,0.58,-17
745260,0.4,-6,0.24,-22,0.08,-21
755923,0.59,19,0.41,-4,0.26,-9
791024,0.85,-4,0.88,-1,0.69,-8
825999,0.71,26,0.79,34,0.43,-2
828467,0.71,27,0.71,-4,0.38,19
826901,0.93,-7,0.91,-3,0.84,-4
841986,0.86,14,0.67,11,0.55,5
20222,0.89,-1,0.84,-6,0.53,-27
20877,0.63,1,0.68,-24,0.47,-15
242390,0.75,-7,0.71,-11,0.5,-24
33812,0.47,-21,0.47,-10,0.38,-23
62995,0.75,-5,0.77,4,0.5,-4
246425,0.86,17,0.86,24,0.77,8
71056,0.77,-9,0.67,-5,0.6,-12
102644,0.78,2,0.65,-16,0.54,-18
91855,0.71,-6,0.81,13,0.62,-6
97187,0.78,7,0.78,11,0.61,9
445658,0.78,14,0.73,12,0.62,3
105678,0.88,18,0.76,11,0.68,18
115380,0.67,0,0.67,0,0.58,16
69841,0.81,5,0.66,-12,0.59,-3
136891,0.74,1,0.61,-20,0.58,-7
124907,0.78,-1,0.62,-11,0.53,-16
147826,0.73,5,0.64,-2,0.51,1
434858,0.9,3,0.95,7,0.62,8
166340,0.69,-20,0.57,-23,0.63,7
182338,0.86,29,0.73,16,0.73,25
56723,0.8,14,0.66,8,0.65,23
240184,0.87,7,0.52,-20,0.61,21
244422,0.64,-10,0.42,-15,0.33,-17
250325,0.76,14,0.38,-16,0.52,6
255912,0.64,24,0.57,10,0.43,10
256897,0.81,5,0.56,-9,0.69,28
282081,0.91,19,0.88,12,0.88,25
357120,0.63,-2,0.51,-12,0.47,6
287890,0.67,-15,0.64,-15,0.53,-11
288802,0.7,21,0.65,21,0.45,7
289841,0.64,-19,0.5,-29,0.54,-17
295698,0.7,-14,0.79,3,0.61,-11
325040,0.9,24,0.76,14,0.59,-3
364665,0.71,-2,0.47,-24,0.48,-4
380733,0.76,9,0.76,14,0.66,9
384747,0.83,7,0.81,5,0.65,1
403334,0.89,-11,0.94,-6,0.83,-17
403350,0.89,-8,0.87,-7,0.76,2
515252,0.63,-30,0.58,-28,0.58,-25
412171,0.66,22,0.6,16,0.57,15
109010,0.71,18,0.54,-6,0.54,1
428680,0.79,18,0.7,13,0.64,25
439983,0.75,3,0.85,24,0.8,24
241610,0.77,18,0.6,13,0.47,0
454818,0.7,8,0.56,-6,0.52,7
462225,0.78,3,0.61,-20,0.52,-17
464562,0.52,13,0.45,1,0.52,8
467529,0.82,21,0.79,14,0.5,-4
489298,0.5,-21,0.38,-42,0.44,-22
491632,0.35,-9,0.29,-15,0.29,-2
501557,0.86,16,0.86,26,0.71,31
62340,0.79,26,0.57,4,0.64,26
527661,0.71,-4,0.71,0,0.61,32
381233,0.92,49,0.71,4,0.67,19
551074,0.7,1,0.81,28,0.56,18
578053,0.77,2,0.77,-5,0.67,-21
587150,0.75,4,0.55,-10,0.6,-5
587443,0.72,37,0.62,15,0.41,6
602361,0.75,-2,0.81,9,0.56,-10
190390,0.39,-5,0.44,0,0.28,-16
30759,0.92,11,0.83,21,0.83,27
296996,0.64,27,0.72,51,0.36,10
406929,0.77,-7,0.71,-13,0.57,-14
486663,0.59,9,0.59,-1,0.56,4
478997,0.79,15,0.68,11,0.63,27
514659,0.32,-18,0.27,-11,0.32,0
569739,0.71,-1,0.47,-15,0.56,-4
806436,0.68,-12,0.64,-16,0.43,-14
805068,0.69,-31,1.0,7,0.54,-26
819360,0.76,-4,0.71,-5,0.57,-23
821225,0.73,-4,0.48,-26,0.61,-18
11517,0.24,-18,0.32,-15,0.16,-8
21008,0.21,-29,0.29,-29,0.14,-3
72877,0.52,-23,0.52,-17,0.57,13
130982,0.69,12,0.42,-11,0.39,16
127868,0.79,12,0.84,1,0.68,18
236136,0.68,7,0.59,7,0.55,8
198587,1.0,20,0.86,26,0.67,3
222372,0.69,-4,0.75,16,0.31,-14
287091,0.84,24,0.68,-2,0.47,-3
352764,0.94,-6,0.88,-12,0.75,-14
409618,0.86,2,0.8,8,0.54,-34
415553,0.91,21,1.0,0,0.86,25
509566,0.52,-21,0.35,-32,0.17,-36
530344,0.52,23,0.7,32,0.17,-4
517216,1.0,28,0.83,27,1.0,41
570125,0.67,-6,0.73,3,0.67,14
602620,0.74,-1,0.84,26,0.68,10
604992,0.64,3,0.36,1,0.29,12
169207,0.67,-9,0.63,-11,0.42,-28
78,0.72,28,0.49,-1,0.36,8
55719,0.77,30,0.55,31,0.41,6
61824,0.69,-1,0.77,27,0.46,1
62081,0.3,-18,0.3,-13,0.35,2
63517,0.97,8,0.9,-1,0.84,10
66370,0.83,25,0.83,9,0.79,16
